picture_url,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,latitude,longitude,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_response_rate_percent,host_since_timestamp,50_percent_or_more_booking,30_day_avail_percentage,has_wifi,has_shampoo,has_smoke alarm,has_hair dryer,has_heating,has_long term stays allowed,has_carbon monoxide alarm,has_kitchen,has_washer,has_hangers,has_essentials,has_air conditioning,has_free parking on premises,entire_space,"neighbourhood_Austin , Texas, United States","neighbourhood_Austin, Texas, United States","neighbourhood_Austin, Tx, United States","neighbourhood_Austin, United States","neighbourhood_Bee Cave, Texas, United States","neighbourhood_Bouldin, Austin, Texas, United States","neighbourhood_Buda, Texas, United States","neighbourhood_Cedar Park, Texas, United States","neighbourhood_Del Valle, Texas, United States","neighbourhood_Dripping Springs, Texas, United States","neighbourhood_Lago Vista, Texas, United States","neighbourhood_Lakeway, Texas, United States","neighbourhood_Leander, Texas, United States","neighbourhood_Manchaca, Texas, United States","neighbourhood_Manor, Austin, Texas, United States","neighbourhood_Pflugerville, Texas, United States","neighbourhood_Rollingwood, Texas, United States","neighbourhood_Round Rock, Texas, United States","neighbourhood_Sunset Valley, Texas, United States","neighbourhood_The Hills, Texas, United States",neighbourhood_United States,"neighbourhood_Volente, Texas, United States","neighbourhood_West Lake Hills, Texas, United States","neighbourhood_Westlake Hills, Austin, Texas, United States"
https://a0.muscache.com/pictures/66505631/6d7f48d5_original.jpg,0,1.0,1.0,1,1,4,30.24605,-97.75468,1.0,1.0,400.0,2,15,1,0,0,0,0,13,2,0,5.0,0,1,1,0,0,0.9654504259561356,1351054800.0,0,0.0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/cb1a597f-e99a-4a4b-a35b-3ba3d6328d66.jpg,0,0.0,0.0,1,1,6,30.32808,-97.75246,3.0,3.0,900.0,1,14,0,0,0,0,0,0,0,0,4.95,0,1,1,0,0,0.9654504259561356,1422943200.0,0,0.0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/66573134/d1ca7693_original.jpg,0,1.0,1.0,1,1,8,30.1997,-97.73786,1.0,8.0,53.0,2,9,0,0,0,0,0,1,0,0,3.0,0,1,0,0,1,0.9654504259561356,1422943200.0,0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/65621699/d81a158c_original.jpg,0,1.0,1.0,1,1,10,30.26052,-97.73343,4.0,5.0,999.0,3,6,1,0,0,0,0,1,0,0,4.0,0,1,1,0,0,1.0,1406610000.0,0,0.0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/f1a15b95-4835-491b-9fdb-484674543193.jpg,0,1.0,1.0,1,1,3,30.23929,-97.7843,1.0,1.0,51.0,6,30,1,0,0,0,0,3,0,0,3.0,0,1,1,0,0,0.9654504259561356,1343797200.0,0,0.0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/65867465/e48deb0d_original.jpg,0,1.0,1.0,1,0,4,30.33844,-97.70887,3.0,2.0,460.0,1,1125,0,0,0,0,0,0,0,0,4.95,0,1,1,0,0,0.9654504259561356,1423029600.0,0,0.0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/fddf15e2-8a37-4097-986d-5eca4e9428bf.jpg,0,1.0,1.0,1,1,6,30.30146,-97.72651,3.0,3.0,420.0,30,364,1,0,0,9,284,38,2,0,4.95,1,1,1,0,0,1.0,1423029600.0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/67660851/a183f7b5_original.jpg,0,1.0,1.0,1,0,2,30.22981,-97.76695,1.0,1.0,275.0,3,1125,0,0,0,0,0,0,0,0,4.95,0,1,1,0,0,0.9654504259561356,1423029600.0,0,0.0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://a0.muscache.com/pictures/cc1fade5-8275-45f9-ae24-6da58216c8c3.jpg,1,1.0,1.0,1,1,2,30.24995,-97.76877,1.0,1.0,450.0,3,60,1,2,28,58,233,58,11,1,5.0,0,1,1,0,0,1.0,1422943200.0,0,0.0666666666666666,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/a740b58f-4e48-43cc-a233-a4948260cb09.jpg,1,1.0,1.0,1,0,4,30.25061,-97.76033,2.0,2.0,371.0,5,1125,1,11,40,60,60,138,16,3,4.91,0,1,1,0,0,1.0,1412917200.0,0,0.3666666666666666,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://a0.muscache.com/pictures/ff7d698c-e766-4218-913f-48103834aa60.jpg,1,0.0,0.0,1,1,4,30.30799,-97.7015,2.0,2.0,257.0,2,14,1,3,10,31,282,358,61,5,4.96,0,2,2,0,0,1.0,1393480800.0,0,0.1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
